"LANG","complexityoflanguages","costoflanguages","syn_index","type","minimal"
"fl108",17,3.21485979639221,12,"Haspel-ok",2.19336484112736
"fl1080",8,3.64822959524919,7,"Haspel-ok",2.35450264857895
"fl1081",5,2.7027027027027,1,"Haspel-ok",1.09533198201801
"fl1082",3,8.06451612903226,0,"Haspel-ok",2.43733556838298
"fl1083",15,2.97699034545492,6,"Haspel-ok",1.92371741461518
"fl1084",15,3.36716082869569,16,"Haspel-ok",2.31387720677804
"fl1085",2,5.81395348837209,0,"Haspel-ok",1.18020544384
"fl1086",9,3.39462517680339,1,"Haspel-ok",2.15915708617729
"fl1087",3,4,2,"Haspel-ok",1.54340653942554
"fl1088",17,2.79972624898899,12,"Haspel-ok",1.77835624456372
"fl1089",2,6.95652173913043,0,"Haspel-ok",1.33727661048615
"fl109",16,2.38958142498706,8,"Haspel-ok",1.3534990678797
"fl1090",11,2.71063925909194,5,"Haspel-ok",1.55871271868805
"fl1091",3,3.05810397553517,0,"Haspel-ok",0.822913315286241
"fl1092",11,3.115089580458,9,"Haspel-ok",1.96300383607027
"fl1093",4,6.13496932515337,0,"Haspel-ok",3.20561734360211
"fl1094",12,2.23463687150838,5,"Haspel-ok",1.1137710718902
"fl1095",22,3.41812174210271,15,"Haspel-ok",2.45076022559186
"fl1096",7,3.3112582781457,4,"Haspel-ok",1.94330142655027
"fl1097",5,3.38983050847458,0,"Haspel-ok",1.77165156864697
"fl1098",18,2.36701952791111,13,"Haspel-ok",1.35878384659766
"fl1099",2,5.20156046814044,0,"Haspel-ok",1.0599878800878
"fl11",3,5.37634408602151,0,"Haspel-ok",2.07344208157905
"fl110",5,3.60230547550432,5,"Haspel-ok",1.98052481081687
"fl1100",2,5.81395348837209,0,"Haspel-ok",1.18020544384
"fl1101",19,2.3141898407066,8,"Haspel-ok",1.31809096590761
"fl1102",14,2.77697425513451,5,"Haspel-ok",1.70458727921887
"fl1103",9,3.00525920360631,1,"Haspel-ok",1.77029786861977
"fl1104",3,4.84261501210654,0,"Haspel-ok",1.92702511229442
"fl1105",11,2.80570493336451,9,"Haspel-ok",1.65373397283757
"fl1106",14,2.35017626321974,3,"Haspel-ok",1.27779104531528
"fl1107",17,3.74590291868269,19,"Haspel-ok",2.72430363062858
"fl1108",7,2.41837968561064,2,"Haspel-ok",1.05368973354669
"fl1109",2,6.95652173913043,0,"Haspel-ok",1.33727661048615
"fl111",16,2.71245695858229,13,"Haspel-ok",1.67619733083273
"fl1110",16,2.80413142029256,11,"Haspel-ok",1.76783325947968
"fl1111",2,10.2040816326531,0,"Haspel-ok",1.5692444214276
"fl1112",6,4.52488687782805,1,"Haspel-ok",3.04582807362811
"fl1113",8,2.21361372440509,2,"Haspel-ok",0.922896754620562
"fl1114",14,3.4816247582205,14,"Haspel-ok",2.40888527239436
"fl1115",20,3.12407796310117,12,"Haspel-ok",2.13917160693772
"fl1116",14,3.14919301928881,10,"Haspel-ok",2.07661584669296
"fl1117",17,2.44100895036615,6,"Haspel-ok",1.41980575648405
"fl1118",2,4.19287211740042,0,"Haspel-ok",0.761460250195114
"fl1119",13,2.52246571023175,9,"Haspel-ok",1.42756191930696
"fl112",12,3.2078413900646,6,"Haspel-ok",2.08671017805696
"fl1120",15,3.14103235263323,9,"Haspel-ok",2.08775444002508
"fl1121",21,2.94719607040524,14,"Haspel-ok",1.97172843795394
"fl1122",2,4.19287211740042,0,"Haspel-ok",0.761460250195114
"fl1123",14,2.41060666934512,6,"Haspel-ok",1.33822113437712
"fl1124",14,1.95583082063401,5,"Haspel-ok",0.8834487368449
"fl1125",9,3.08602288800309,6,"Haspel-ok",1.85096868758133
"fl1126",1,5.44069640914037,0,"Haspel-ok",0.1297468414674
"fl1127",3,3.05810397553517,0,"Haspel-ok",0.822913315286241
"fl1128",11,2.47524752475248,2,"Haspel-ok",1.32345842998659
"fl1129",3,3.05810397553517,0,"Haspel-ok",0.822913315286241
"fl113",15,3.00984470037414,8,"Haspel-ok",1.9565707048873
"fl1130",2,5.20156046814044,0,"Haspel-ok",1.0599878800878
"fl1131",9,3.235228038643,10,"Haspel-ok",1.99999768368404
"fl1132",4,2.13371266002845,0,"Haspel-ok",0.328789547270481
"fl1133",13,2.14611463829026,5,"Haspel-ok",1.05143557272692
"fl1134",12,3.37928218414272,10,"Haspel-ok",2.25802774438037
"fl1135",21,2.03270394796278,8,"Haspel-ok",1.05748189278701
"fl1136",9,3.6084799278304,8,"Haspel-ok",2.37274301749843
"fl1137",7,2.99762687872101,3,"Haspel-ok",1.63082261275557
"fl1138",10,3.0060120240481,5,"Haspel-ok",1.81670483925896
"fl1139",7,2.97176820208024,1,"Haspel-ok",1.60506703236484
"fl114",15,3.3102687294545,10,"Haspel-ok",2.25698643624712
"fl1140",20,2.60439274242556,6,"Haspel-ok",1.61960613082802
"fl1141",3,4.30292598967298,6,"Haspel-ok",1.71159320143554
"fl1142",7,3.67647058823529,1,"Haspel-ok",2.30713234566837
"fl1143",13,2.84444444444444,11,"Haspel-ok",1.74942511875793
"fl1144",19,2.90192194751206,13,"Haspel-ok",1.90580156500791
"fl1145",7,3.21199143468951,1,"Haspel-ok",1.844390244986
"fl1146",22,2.63713080168776,12,"Haspel-ok",1.66987369750667
"fl1147",7,3.66300366300366,1,"Haspel-ok",2.29372007988769
"fl1148",15,2.59371600250726,9,"Haspel-ok",1.54045884670009
"fl1149",11,2.59242723200783,10,"Haspel-ok",1.44056410282849
"fl115",17,2.22222222222222,7,"Haspel-ok",1.20116967314449
"fl1150",8,2.76179516685846,2,"Haspel-ok",1.46997073202657
"fl1151",17,3.26024940907979,16,"Haspel-ok",2.23874360191149
"fl1152",17,2.38923252541878,10,"Haspel-ok",1.36806063136758
"fl1153",3,8.65800865800866,0,"Haspel-ok",2.48114934786649
"fl1154",10,2.67320115838717,5,"Haspel-ok",1.48423123230584
"fl1155",9,2.97877621943652,3,"Haspel-ok",1.74384720736032
"fl1156",12,3.09278350515464,3,"Haspel-ok",1.97168820249014
"fl1157",4,4.21940928270042,1,"Haspel-ok",2.31404000820996
"fl1158",10,1.40449438202247,1,"Haspel-ok",0.216522250857615
"fl1159",17,2.30887634684454,7,"Haspel-ok",1.28775801243921
