"LANG","complexityoflanguages","costoflanguages","syn_index","type"
"BASQUE",7,1.69635284139101,0,"natural"
"BULGARIAN",5,2.33009708737864,1,"natural"
"CATALAN",5,2.09132101777623,0,"natural"
"CHINESE",6,1.4903129657228,0,"natural"
"DUTCH",4,2.30769230769231,1,"natural"
"ENGLISH",4,1.98347107438017,0,"natural"
"FINNISH",7,1.6750418760469,0,"natural"
"fl1",15,2.84629981024668,7,"artificial"
"fl10",18,3.0374364036753,16,"artificial"
"fl100",13,2.96028287147439,4,"artificial"
"fl1000",6,2.90135396518375,0,"artificial"
"fl10000",2,10.2040816326531,0,"artificial"
"fl1001",21,2.95770482105886,15,"artificial"
"fl1002",16,2.62062137844684,12,"artificial"
"fl1003",18,3.66048959048273,8,"artificial"
"fl1004",3,4.84261501210654,0,"artificial"
"fl1005",14,3.20256204963971,6,"artificial"
"fl1006",10,2.69572054363698,5,"artificial"
"fl1007",13,2.39520958083832,2,"artificial"
"fl1008",13,2.12376850923249,4,"artificial"
"fl1009",16,3.28017326604119,16,"artificial"
"fl101",15,3.2258064516129,7,"artificial"
"fl1010",13,2.76243093922652,5,"artificial"
"fl1011",15,2.89219348774433,9,"artificial"
"fl1012",4,5.31914893617021,0,"artificial"
"fl1013",5,2.67409470752089,3,"artificial"
"fl1014",16,4.70743303676505,13,"artificial"
"fl1015",12,3.9765823483928,6,"artificial"
"fl1016",21,3.89866503211525,17,"artificial"
"fl1017",8,3.61391356723385,7,"artificial"
"fl1018",13,4.27350427350427,4,"artificial"
"fl1019",4,2.43664717348928,0,"artificial"
"fl102",2,5.81395348837209,0,"artificial"
"fl1020",22,2.43494140922234,11,"artificial"
"fl1021",5,5.15463917525773,4,"artificial"
"fl1022",8,4.28382736175732,7,"artificial"
"fl1023",7,3.35523556549699,1,"artificial"
"fl1024",3,5.81395348837209,0,"artificial"
"fl1025",17,2.77386098333372,11,"artificial"
"fl1026",19,3.88864224815371,18,"artificial"
"fl1027",4,4.87408610885459,2,"artificial"
"fl1028",8,4.47027268663388,5,"artificial"
"fl1029",5,4.08997955010225,1,"artificial"
"fl103",17,3.91633405024004,17,"artificial"
"fl1030",3,4.84261501210654,0,"artificial"
"fl1031",11,4.33776749566223,5,"artificial"
"fl1032",10,5.26200394650296,2,"artificial"
"fl1033",12,3.67152123363113,11,"artificial"
"fl1034",8,4,2,"artificial"
"fl1035",15,2.78881684445374,9,"artificial"
"fl1036",10,3.43210159020707,10,"artificial"
"fl1037",14,3.55849724661276,19,"artificial"
"fl1038",8,2.22098833981122,2,"artificial"
"fl1039",4,4.69924812030075,1,"artificial"
"fl104",5,4.8721071863581,0,"artificial"
"fl1040",23,2.38656364666925,15,"artificial"
"fl1041",3,5.92885375494071,0,"artificial"
"fl1042",11,4.49370880766926,7,"artificial"
"fl1043",10,3.28917313841937,7,"artificial"
"fl1044",8,2.9747149231532,0,"artificial"
"fl1045",5,4.47928331466965,1,"artificial"
"fl1046",14,3.20627003918775,9,"artificial"
"fl1047",22,3.42174423412334,15,"artificial"
"fl1048",6,5.37634408602151,3,"artificial"
"fl1049",21,3.56421527860283,14,"artificial"
"fl105",23,4.0232813883003,20,"artificial"
"fl1050",11,2.86841161706705,3,"artificial"
"fl1051",14,5.06756756756757,5,"artificial"
"fl1052",12,2.59515570934256,2,"artificial"
"fl1053",19,4.04901558308636,15,"artificial"
"fl1054",22,2.41943613696697,12,"artificial"
"fl1055",7,3.89736927573888,2,"artificial"
"fl1056",5,6.78733031674208,0,"artificial"
"fl1057",2,5.81395348837209,0,"artificial"
"fl1058",19,2.88473095877239,8,"artificial"
"fl1059",7,4.45765230312036,1,"artificial"
"fl106",11,3.46170488965816,8,"artificial"
"fl1060",16,3.41119060027479,7,"artificial"
"fl1061",16,3.06122448979592,12,"artificial"
"fl1062",10,3.02587119874931,6,"artificial"
"fl1063",6,2.31660231660232,0,"artificial"
"fl1064",17,3.54540082726019,11,"artificial"
"fl1065",9,3.95569620253165,5,"artificial"
"fl1066",4,2.60078023407022,0,"artificial"
"fl1067",20,3.446790176648,14,"artificial"
"fl1068",3,5.37634408602151,0,"artificial"
"fl1069",15,3.78859632506156,12,"artificial"
"fl107",10,3.83509108341323,9,"artificial"
"fl1070",21,3.38155175652827,13,"artificial"
"fl1071",5,4.41095386877412,2,"artificial"
"fl1072",9,3.81150014293126,8,"artificial"
"fl1073",1,4.77326968973747,0,"artificial"
"fl1074",19,2.95239266822487,13,"artificial"
"fl1075",5,6.13747954173486,3,"artificial"
"fl1076",14,2.32468035645099,3,"artificial"
"fl1077",13,3.93700787401575,4,"artificial"
"fl1078",20,3.77417832992609,14,"artificial"
"fl1079",24,2.71913591903017,11,"artificial"
"fl108",8,3.3167495854063,4,"artificial"
"fl1080",17,2.65717955152714,7,"artificial"
"fl1081",11,4.16396779864902,7,"artificial"
"fl1082",12,3.0060120240481,4,"artificial"
"fl1083",5,4.8721071863581,0,"artificial"
"fl1084",18,2.47249350970454,10,"artificial"
"fl1085",15,3.58503248935693,11,"artificial"
"fl1086",6,4.6592894583576,2,"artificial"
"fl1087",18,2.8231972709093,14,"artificial"
"fl1088",3,5.20156046814044,0,"artificial"
"fl1089",15,3.22090006262861,10,"artificial"
"fl109",14,3.37116529947185,9,"artificial"
"fl1090",7,2.75103163686382,3,"artificial"
"fl1091",19,3.49962719249213,18,"artificial"
"fl1092",12,3.45125107851596,4,"artificial"
"fl1093",30,2.78296362434629,13,"artificial"
