LANG,complexityoflanguages,costoflanguages
lang1327gen1mutoff79,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff1,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff11,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff11gen13rcoff164,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff11gen3mutoff3,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff11gen3mutoff3gen7rcoff755,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff11gen3mutoff3gen7rcoff755gen10rcoff248,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff11gen3mutoff3gen7rcoff755gen10rcoff248gen12rcoff75,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff11gen3mutoff3gen7rcoff755gen9rcoff181,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff1gen3mutoff1,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff1gen3mutoff1gen4mutoff2,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff1gen3mutoff1gen4mutoff2gen5mutoff0,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff1gen3mutoff1gen4mutoff2gen5mutoff0gen7rcoff279,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff1gen3mutoff1gen4mutoff2gen5mutoff0gen7rcoff279gen9rcoff330,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff1gen3mutoff1gen4mutoff2gen5mutoff0gen7rcoff279gen9rcoff330gen13rcoff117,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff1gen3mutoff1gen4mutoff2gen5mutoff0gen7rcoff279gen9rcoff330gen13rcoff117gen19rcoff0,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff1gen3mutoff1gen4mutoff2gen5mutoff0gen8rcoff358,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff1gen3mutoff1gen4mutoff2gen7rcoff520,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff1gen3mutoff1gen5mutoff0,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff1gen3mutoff1gen5mutoff0gen7rcoff106,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff1gen5mutoff0,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff1gen5mutoff0gen15rcoff11,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff23,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff23gen10rcoff64,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff23gen3mutoff4,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff23gen5mutoff1,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff23gen5mutoff1gen9rcoff235,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff23gen9rcoff202,1,4.776119402985076
lang1327gen1mutoff79gen2mutoff27,1,4.776119402985076
