"LANG","complexityoflanguages","costoflanguages","syn_index","type","minimal"
"BASQUE",7,1.69635284139101,0,"natural",0.334187008711848
"BULGARIAN",5,2.33009708737864,1,"natural",0.728137588305879
"CATALAN",5,2.09132101777623,0,"natural",0.492685213452669
"CHINESE",6,1.4903129657228,0,"natural",0.0328285364535118
"DUTCH",4,2.30769230769231,1,"natural",0.496893999903801
"ENGLISH",4,1.98347107438017,0,"natural",0.18341922455604
"FINNISH",7,1.6750418760469,0,"natural",0.312978845616637
"FRENCH",7,2.20426157237325,2,"natural",0.840325670014436
"GEORGIAN",9,2.21729490022173,1,"natural",0.983395447154376
"GERMAN",4,2.60699543775798,2,"natural",0.785429987885545
"GREEK",7,2.89855072463768,1,"natural",1.5321038848316
"HAUSA",3,2.82352941176471,0,"natural",0.620177053966807
"HEBREW",6,2.16489265740574,1,"natural",0.703084060198413
"HINDI",3,3.52941176470588,1,"natural",1.20974580345283
"HUNGARIAN",4,1.98347107438017,0,"natural",0.18341922455604
"ICELAND",10,1.3953488372093,1,"natural",0.20738185159846
"IRISH",4,2.71186440677966,2,"natural",0.886306789032399
"ITALIAN",5,2.09132101777623,0,"natural",0.492685213452669
"JAPANESE",5,2.09132101777623,0,"natural",0.492685213452669
"KANNADA",6,1.79694519317161,0,"natural",0.337504674880673
"KAZAKH",5,1.93174500965873,2,"natural",0.335267881468725
"KOREAN",5,2.09132101777623,0,"natural",0.492685213452669
"LATIN",11,1.20772946859903,1,"natural",0.0570351146222301
"LATVIAN",4,1.98347107438017,0,"natural",0.18341922455604
"LEZGIAN",5,2.09132101777623,0,"natural",0.492685213452669
"LITHUANIAN",11,1.50489089541008,1,"natural",0.353656014926533
"MALTESE",3,2.63042525208242,0,"natural",0.449977109032744
"NANAY",7,2.34925606891151,0,"natural",0.98478762876762
"OSSETIC",6,1.68918918918919,0,"natural",0.230437074983313
"PERSIAN",3,2.63042525208242,0,"natural",0.449977109032744
"POLISH",4,1.98347107438017,0,"natural",0.18341922455604
"PORTUG",5,2.86157147967092,3,"natural",1.25180504641341
"QUECHUA",3,3.22234156820623,0,"natural",0.961459314408579
"ROMANIAN",5,2.09132101777623,0,"natural",0.492685213452669
"RUSSIAN",16,1.26568927328341,3,"natural",0.232881604599524
"SERBIAN",7,1.70672735030579,1,"natural",0.344516063578305
"SWAHILI",3,2.82352941176471,0,"natural",0.620177053966807
"SWEDISH",7,2.29357798165138,0,"natural",0.929306698200573
"TURKISH",5,2.59347309271666,2,"natural",0.987724505478055
"YAKUT",6,1.75953079178886,1,"natural",0.300369003139138
