"LANG","complexityoflanguages","costoflanguages","syn_index","type"
"fl110",5,3.60230547550432,5,"Haspel-ok"
"fl1100",2,5.81395348837209,0,"Haspel-ok"
"fl1101",19,2.3141898407066,8,"Haspel-ok"
"fl1102",14,2.77697425513451,5,"Haspel-ok"
"fl1103",9,3.00525920360631,1,"Haspel-ok"
"fl1104",3,4.84261501210654,0,"Haspel-ok"
"fl1105",11,2.80570493336451,9,"Haspel-ok"
"fl1106",14,2.35017626321974,3,"Haspel-ok"
"fl1107",17,3.74590291868269,19,"Haspel-ok"
"fl1108",7,2.41837968561064,2,"Haspel-ok"
"fl1109",2,6.95652173913043,0,"Haspel-ok"
"fl111",16,2.71245695858229,13,"Haspel-ok"
"fl1110",16,2.80413142029256,11,"Haspel-ok"
"fl1111",2,10.2040816326531,0,"Haspel-ok"
"fl1112",6,4.52488687782805,1,"Haspel-ok"
"fl1113",8,2.21361372440509,2,"Haspel-ok"
"fl1114",14,3.4816247582205,14,"Haspel-ok"
"fl1115",20,3.12407796310117,12,"Haspel-ok"
"fl1116",14,3.14919301928881,10,"Haspel-ok"
"fl1117",17,2.44100895036615,6,"Haspel-ok"
"fl1118",2,4.19287211740042,0,"Haspel-ok"
"fl1119",13,2.52246571023175,9,"Haspel-ok"
"fl112",12,3.2078413900646,6,"Haspel-ok"
"fl1120",15,3.14103235263323,9,"Haspel-ok"
"fl1121",21,2.94719607040524,14,"Haspel-ok"
"fl1122",2,4.19287211740042,0,"Haspel-ok"
"fl1123",14,2.41060666934512,6,"Haspel-ok"
"fl1124",14,1.95583082063401,5,"Haspel-ok"
"fl1125",9,3.08602288800309,6,"Haspel-ok"
"fl1126",1,5.44069640914037,0,"Haspel-ok"
"fl1127",3,3.05810397553517,0,"Haspel-ok"
"fl1128",11,2.47524752475248,2,"Haspel-ok"
"fl1129",3,3.05810397553517,0,"Haspel-ok"
"fl113",15,3.00984470037414,8,"Haspel-ok"
"fl1130",2,5.20156046814044,0,"Haspel-ok"
"fl1131",9,3.235228038643,10,"Haspel-ok"
"fl1132",4,2.13371266002845,0,"Haspel-ok"
"fl1133",13,2.14611463829026,5,"Haspel-ok"
"fl1134",12,3.37928218414272,10,"Haspel-ok"
"fl1135",21,2.03270394796278,8,"Haspel-ok"
"fl1136",9,3.6084799278304,8,"Haspel-ok"
"fl1137",7,2.99762687872101,3,"Haspel-ok"
"fl1138",10,3.0060120240481,5,"Haspel-ok"
"fl1139",7,2.97176820208024,1,"Haspel-ok"
"fl114",15,3.3102687294545,10,"Haspel-ok"
"fl1140",20,2.60439274242556,6,"Haspel-ok"
"fl1141",3,4.30292598967298,6,"Haspel-ok"
"fl1142",7,3.67647058823529,1,"Haspel-ok"
"fl1143",13,2.84444444444444,11,"Haspel-ok"
"fl1144",19,2.90192194751206,13,"Haspel-ok"
"fl1145",7,3.21199143468951,1,"Haspel-ok"
"fl1146",22,2.63713080168776,12,"Haspel-ok"
"fl1147",7,3.66300366300366,1,"Haspel-ok"
"fl1148",15,2.59371600250726,9,"Haspel-ok"
"fl1149",11,2.59242723200783,10,"Haspel-ok"
"fl115",17,2.22222222222222,7,"Haspel-ok"
"fl1150",8,2.76179516685846,2,"Haspel-ok"
"fl1151",17,3.26024940907979,16,"Haspel-ok"
"fl1152",17,2.38923252541878,10,"Haspel-ok"
"fl1153",3,8.65800865800866,0,"Haspel-ok"
"fl1154",10,2.67320115838717,5,"Haspel-ok"
"fl1155",9,2.97877621943652,3,"Haspel-ok"
"fl1156",12,3.09278350515464,3,"Haspel-ok"
"fl1157",4,4.21940928270042,1,"Haspel-ok"
"fl1158",10,1.40449438202247,1,"Haspel-ok"
"fl1159",17,2.30887634684454,7,"Haspel-ok"
"fl116",20,2.24306053148073,8,"Haspel-ok"
"fl1160",27,2.49083235314468,10,"Haspel-ok"
"fl1161",9,3.25644504748982,5,"Haspel-ok"
"fl1162",15,2.65222676538844,8,"Haspel-ok"
"fl1163",2,3.80228136882129,0,"Haspel-ok"
"fl1164",12,2.49791840133222,3,"Haspel-ok"
"fl1165",19,2.63663828618511,10,"Haspel-ok"
"fl1166",7,3.1132442599559,3,"Haspel-ok"
"fl1167",2,5.20156046814044,0,"Haspel-ok"
"fl1168",2,5.81395348837209,0,"Haspel-ok"
"fl1169",3,3.05810397553517,0,"Haspel-ok"
"fl117",11,2.65326277619728,7,"Haspel-ok"
"fl1170",8,2.54022015241321,2,"Haspel-ok"
"fl1171",17,2.66627166345727,10,"Haspel-ok"
"fl1172",2,4.19287211740042,0,"Haspel-ok"
"fl1173",9,3.2520325203252,2,"Haspel-ok"
"fl1174",2,4.70588235294118,0,"Haspel-ok"
"fl1175",1,4.77326968973747,0,"Haspel-ok"
"fl1176",13,2.10415570752236,4,"Haspel-ok"
"fl1177",23,3.52043318092093,15,"Haspel-ok"
"fl1178",1,4.77326968973747,0,"Haspel-ok"
"fl1179",11,2.6793688597797,7,"Haspel-ok"
"fl118",8,3.1768443346276,3,"Haspel-ok"
"fl1180",2,4.36046511627907,0,"Haspel-ok"
"fl1181",15,1.93309348654889,5,"Haspel-ok"
"fl1182",4,4.25079702444208,2,"Haspel-ok"
"fl1183",10,3.690036900369,5,"Haspel-ok"
"fl1184",20,2.24035248212385,11,"Haspel-ok"
"fl1185",3,3.05810397553517,0,"Haspel-ok"
"fl1186",14,2.81425891181989,5,"Haspel-ok"
"fl1187",3,3.05810397553517,0,"Haspel-ok"
"fl1188",23,3.02495588605999,12,"Haspel-ok"
"fl1189",11,3.0510543087667,10,"Haspel-ok"
"fl119",5,9.11854103343465,0,"Haspel-ok"
"fl1190",7,2.52365930599369,1,"Haspel-ok"
"fl1191",11,2.72160272160272,11,"Haspel-ok"
"fl1192",12,3.67094093354067,15,"Haspel-ok"
"fl1193",24,1.95869333391369,10,"Haspel-ok"
"fl1194",20,2.90483049103739,10,"Haspel-ok"
"fl1195",19,2.39880059970015,6,"Haspel-ok"
"fl1196",6,3.74084272873695,7,"Haspel-ok"
"fl1197",14,2.79687682088335,7,"Haspel-ok"
"fl1198",14,2.95391886569516,13,"Haspel-ok"
"fl1199",6,2.03389830508475,0,"Haspel-ok"
"fl12",16,3.22104415514696,6,"Haspel-ok"
"fl120",8,1.93798449612403,1,"Haspel-ok"
"fl1200",7,2.7027027027027,1,"Haspel-ok"
"fl1201",5,4.4709388971684,0,"Haspel-ok"
"fl1202",15,3.04334226610647,9,"Haspel-ok"
"fl1203",6,3.09677419354839,1,"Haspel-ok"
"fl1204",10,3.18725099601594,1,"Haspel-ok"
"fl1205",20,2.78896808180973,13,"Haspel-ok"
"fl1206",17,2.71739130434783,10,"Haspel-ok"
"fl1207",17,2.46596455175957,6,"Haspel-ok"
"fl1208",9,2.83866897965621,6,"Haspel-ok"
"fl1209",9,1.82232346241458,1,"Haspel-ok"
"fl121",12,2.13238560639716,4,"Haspel-ok"
"fl1210",7,3.90117035110533,2,"Haspel-ok"
"fl1211",22,2.28028503562945,11,"Haspel-ok"
"fl1212",4,4.90196078431372,0,"Haspel-ok"
"fl1213",7,2.794271742927,3,"Haspel-ok"
"fl1214",16,2.66051791415395,9,"Haspel-ok"
"fl1215",8,3.29652216911159,4,"Haspel-ok"
"fl1216",16,2.21668052091992,9,"Haspel-ok"
"fl1217",16,2.37021430687691,9,"Haspel-ok"
"fl1218",7,2.65957446808511,0,"Haspel-ok"
"fl1219",16,2.08853048674363,6,"Haspel-ok"
"fl122",15,2.06878717351952,8,"Haspel-ok"
"fl1220",19,3.26998642955632,10,"Haspel-ok"
"fl1221",13,2.65525888774155,5,"Haspel-ok"
"fl1222",13,2.05198358413133,5,"Haspel-ok"
"fl1223",10,3.53322210226715,5,"Haspel-ok"
"fl1224",2,3.64354030666464,1,"Haspel-ok"
"fl1225",15,2.04156281633591,11,"Haspel-ok"
"fl1226",2,4.19287211740042,0,"Haspel-ok"
"fl1227",3,3.5799522673031,2,"Haspel-ok"
"fl1228",20,2.36499802916831,11,"Haspel-ok"
"fl1229",2,5.20156046814044,0,"Haspel-ok"
"fl123",16,2.284626368396,6,"Haspel-ok"
"fl1230",5,4.37940221159812,5,"Haspel-ok"
"fl1231",2,4.19287211740042,0,"Haspel-ok"
"fl1232",8,3.1413612565445,2,"Haspel-ok"
"fl1233",9,4.06022669599053,6,"Haspel-ok"
"fl1234",20,2.43302424914168,11,"Haspel-ok"
"fl1235",27,3.21827982943117,14,"Haspel-ok"
"fl1236",19,2.73897562311695,11,"Haspel-ok"
"fl1237",4,2.64200792602378,0,"Haspel-ok"
"fl1238",16,2.86676700351179,12,"Haspel-ok"
"fl1239",8,2.03458799593082,2,"Haspel-ok"
"fl124",7,3.78648435445701,4,"Haspel-ok"
"fl1240",13,1.97590493701803,6,"Haspel-ok"
"fl1241",20,3.407590407633,14,"Haspel-ok"
"fl1242",13,2.79807243898648,3,"Haspel-ok"
"fl1243",17,2.8033016664071,12,"Haspel-ok"
"fl1244",20,2.27617602427921,9,"Haspel-ok"
"fl1245",14,2.07075064710958,7,"Haspel-ok"
"fl1246",20,2.94437583321747,13,"Haspel-ok"
"fl1247",5,4.4709388971684,0,"Haspel-ok"
"fl1248",17,3.01346012187772,9,"Haspel-ok"
"fl1249",8,2.44598450876478,2,"Haspel-ok"
"fl125",16,2.45173153539687,6,"Haspel-ok"
"fl1250",4,4.90196078431372,0,"Haspel-ok"
"fl1251",17,3.24447171631781,16,"Haspel-ok"
"fl1252",10,2.88340241484952,6,"Haspel-ok"
"fl1253",4,3.26441784548422,1,"Haspel-ok"
"fl1254",7,3.79140929843131,13,"Haspel-ok"
"fl1255",9,3.26619488296135,7,"Haspel-ok"
"fl1256",23,2.42882202131966,11,"Haspel-ok"
"fl1257",3,4.84261501210654,0,"Haspel-ok"
"fl1258",11,2.98136645962733,6,"Haspel-ok"
"fl1259",9,3.2520325203252,2,"Haspel-ok"
"fl126",13,2.81222536861635,9,"Haspel-ok"
"fl1260",14,3.52693253859787,17,"Haspel-ok"
"fl1261",13,2.30869126064162,6,"Haspel-ok"
"fl1262",2,5.20156046814044,0,"Haspel-ok"
"fl1263",18,2.43235025843722,10,"Haspel-ok"
"fl1264",19,2.85858349247438,14,"Haspel-ok"
"fl1265",23,2.30653903817322,8,"Haspel-ok"
"fl1266",12,3.43839541547278,4,"Haspel-ok"
"fl1267",19,2.65359525301294,11,"Haspel-ok"
"fl1268",6,3.40715502555366,2,"Haspel-ok"
"fl1269",12,3.3058761949365,7,"Haspel-ok"
"fl127",4,4.70569781577193,8,"Haspel-ok"
"fl1270",20,2.43121682402042,12,"Haspel-ok"
"fl1271",5,3.38983050847458,0,"Haspel-ok"
"fl1272",14,3.13079686607234,9,"Haspel-ok"
"fl1273",12,2.95602906761916,7,"Haspel-ok"
"fl1274",4,2.60078023407022,0,"Haspel-ok"
"fl1275",12,2.33168172544448,8,"Haspel-ok"
"fl1276",6,2.38473767885533,1,"Haspel-ok"
"fl1277",17,2.46305418719212,8,"Haspel-ok"
"fl1278",18,2.44056214281356,8,"Haspel-ok"
"fl1279",20,2.75182021441266,14,"Haspel-ok"
"fl128",4,5.54016620498615,0,"Haspel-ok"
"fl1280",4,4.8721071863581,0,"Haspel-ok"
"fl1281",15,1.89453741711399,6,"Haspel-ok"
"fl1282",5,3.12256049960968,1,"Haspel-ok"
"fl1283",18,2.23373561257097,10,"Haspel-ok"
"fl1284",8,2.01072386058981,0,"Haspel-ok"
"fl1285",14,2.71659773299919,13,"Haspel-ok"
"fl1286",3,3.05810397553517,0,"Haspel-ok"
"fl1287",5,2.45098039215686,0,"Haspel-ok"
"fl1288",18,2.25322492817846,11,"Haspel-ok"
"fl1289",11,2.46305418719212,7,"Haspel-ok"
"fl129",16,2.75925500114969,11,"Haspel-ok"
"fl1290",6,3.65463682046597,1,"Haspel-ok"
"fl1291",13,2.34009360374415,3,"Haspel-ok"
"fl1292",7,3.33908397796205,9,"Haspel-ok"
"fl1293",7,3.13971742543171,2,"Haspel-ok"
