"LANG","complexityoflanguages","costoflanguages","syn_index","type","minimal"
"fl5002",5,6.78733031674208,0,"Not Haspel-ok",4.29403985280687
"fl5004",3,3.05810397553517,0,"Not Haspel-ok",0.822913315286241
"fl5006",3,5.54323725055432,0,"Not Haspel-ok",2.11055346453751
"fl5014",5,5.87084148727984,0,"Not Haspel-ok",4.13358587537508
"fl5015",2,6.09756097560976,0,"Not Haspel-ok",1.22589735318568
"fl5016",2,6.95652173913043,0,"Not Haspel-ok",1.33727661048615
"fl5023",6,2.18459858001092,0,"Not Haspel-ok",0.722645113161832
"fl5025",3,6.07287449392713,0,"Not Haspel-ok",2.2094547441294
"fl5028",3,6.09756097560976,0,"Not Haspel-ok",2.21348861609474
"fl5031",2,6.7842605156038,0,"Not Haspel-ok",1.31763542170785
"fl5034",2,6.7842605156038,0,"Not Haspel-ok",1.31763542170785
"fl5038",6,4.4709388971684,0,"Not Haspel-ok",2.99231865106777
"fl5045",5,6.75675675675676,0,"Not Haspel-ok",4.28983991930767
"fl5046",2,5.20156046814044,0,"Not Haspel-ok",1.0599878800878
"fl5050",2,6.09756097560976,0,"Not Haspel-ok",1.22589735318568
"fl5059",1,5.44069640914037,0,"Not Haspel-ok",0.1297468414674
"fl5063",3,6.25978090766823,0,"Not Haspel-ok",2.23893256675966
"fl5065",4,4.90196078431372,0,"Not Haspel-ok",2.87624949854632
"fl5066",5,2.43605359317905,0,"Not Haspel-ok",0.832580310881767
"fl5070",5,4.8721071863581,0,"Not Haspel-ok",3.22530446229912
"fl5078",4,7.42942050520059,0,"Not Haspel-ok",3.37611257938303
"fl5079",3,6.25978090766823,0,"Not Haspel-ok",2.23893256675966
"fl5083",3,6.07287449392713,0,"Not Haspel-ok",2.2094547441294
"fl5088",3,5.37634408602151,0,"Not Haspel-ok",2.07344208157905
"fl5091",2,10.2040816326531,0,"Not Haspel-ok",1.5692444214276
"fl5118",5,6.78733031674208,0,"Not Haspel-ok",4.29403985280687
"fl5121",4,5.31914893617021,0,"Not Haspel-ok",3.02501459913999
"fl5124",4,5.92885375494071,0,"Not Haspel-ok",3.16796717096932
"fl5137",4,7.42942050520059,0,"Not Haspel-ok",3.37611257938303
"fl5155",3,6.07287449392713,0,"Not Haspel-ok",2.2094547441294
"fl5156",5,9.11854103343465,0,"Not Haspel-ok",4.50685809125507
"fl5163",1,5.21739130434783,0,"Not Haspel-ok",0.086465690481498
"fl5171",2,3.80228136882129,0,"Not Haspel-ok",0.594104254588034
"fl5174",3,3.05810397553517,0,"Not Haspel-ok",0.822913315286241
"fl5176",3,4.84261501210654,0,"Not Haspel-ok",1.92702511229442
"fl5182",5,4.4709388971684,0,"Not Haspel-ok",2.83281422299508
"fl5190",4,6.13496932515337,0,"Not Haspel-ok",3.20561734360211
"fl5202",5,6.78733031674208,0,"Not Haspel-ok",4.29403985280687
"fl5204",1,5.21739130434783,0,"Not Haspel-ok",0.086465690481498
"fl5205",3,5.37634408602151,0,"Not Haspel-ok",2.07344208157905
"fl5208",3,4.84261501210654,0,"Not Haspel-ok",1.92702511229442
"fl5211",2,4.70588235294118,0,"Not Haspel-ok",0.933119049690862
"fl5220",2,4.70588235294118,0,"Not Haspel-ok",0.933119049690862
"fl5223",5,6.78733031674208,0,"Not Haspel-ok",4.29403985280687
"fl5232",1,5.21739130434783,0,"Not Haspel-ok",0.086465690481498
"fl5235",3,7.64818355640535,0,"Not Haspel-ok",2.40172882122782
"fl5244",1,6.66666666666667,0,"Not Haspel-ok",0.310745272420271
"fl5250",4,4.05405405405405,0,"Not Haspel-ok",2.16077716400236
"fl5261",2,6.95652173913043,0,"Not Haspel-ok",1.33727661048615
"fl5266",4,5.92885375494071,0,"Not Haspel-ok",3.16796717096932
"fl5269",5,3.37837837837838,0,"Not Haspel-ok",1.76038920144944
"fl5278",5,6.75675675675676,0,"Not Haspel-ok",4.28983991930767
"fl5311",2,4.19287211740042,0,"Not Haspel-ok",0.761460250195114
